"RefBlock","Timestamp","BlockCount","TxCount","GasUsed","NormWeekFeesBTC","NormWeekTXs"
3478560,1625018216,19960,53490,7083775187,0.429285293897555,54025.9719438878
3458400,1624372303,19319,59063,8571456559,0.5366754932329,61634.1466949635
3438240,1623717164,20067,77315,11575825060,0.697768375570638,77673.3143967708
3418080,1623062836,20097,55496,6967999897,0.419390589411912,55669.9686520376
3397920,1622431022,19957,64287,7706642076,0.467101982017818,64940.918975798
3377760,1621806894,18739,45937,7844763780,0.506378476348151,49420.4557340306
3357600,1621160961,19977,44118,5047459099,0.305621791367593,44522.1444661361
3337440,1620534423,19768,44260,7144362349,0.437162115406232,45137.6770538244
3317280,1619923734,19966,39044,4187282603,0.253678104607272,39423.3717319443
3297120,1619305859,18951,48342,5544443676,0.353889455463543,51426.0313439924
3276960,1618678816,19034,57589,6883566134,0.437446758205653,60995.8096038668
3256800,1618021031,19237,29942,2848802644,0.179129369349815,31378.6307636326
3236640,1617358489,19941,30239,2708130934,0.164272362357274,30571.0967353693
3216480,1616700683,19985,34697,3296360105,0.199513494271103,35000.826619965
3196320,1616060656,20052,30316,2572028203,0.155152868259964,30479.2818671454
3176160,1615420722,19978,35079,4671203500,0.282825495725298,35398.5704274702
3156000,1614787061,19932,30507,2533768380,0.153765113006623,30855.9662853703
3135840,1614158733,20059,28044,3192889118,0.192537946913246,28185.2056433521
3115680,1613524337,19400,29695,3120720995,0.19457856265732,30858.3092783505
3095520,1612899195,19524,33454,2613595496,0.161924047939029,34543.7738168408
3075360,1612230300,19589,30384,2375081509,0.146658767333013,31269.6635867068
3055200,1611561318,19708,32446,2578612287,0.158265142193789,33190.1441039172
3035040,1610898465,19553,37163,2887778403,0.178645566218422,38316.681839104
3014880,1610239726,19899,42521,3534157442,0.214830737315604,43078.7155133424
2994720,1609572675,19904,33043,2573271820,0.156382113819936,33467.9903536978
2974560,1608922053,20063,26976,2087518055,0.125856643539251,27106.4227682799
2954400,1608263814,19917,24106,2174521330,0.132063111953005,24400.1084500678
2934240,1607615428,19859,23110,1956041925,0.119141362227705,23460.2749383151
2914080,1606964025,19415,26667,2322853717,0.144719230290147,27690.2765902653
2893920,1606310639,19411,25697,2330779230,0.145242932183195,26688.5539127299
2873760,1605640218,19709,23821,2143150738,0.131531540549231,24366.0946775585
2853600,1604990696,19953,24007,1976217118,0.119803148696076,24256.0577356788
2833440,1604348491,19947,20368,1706993823,0.103513296651166,20585.4955632426
2813280,1603697509,19941,20954,1770616093,0.107403702226207,21184.1251692493
2793120,1603037054,20037,18065,1535267125,0.0926814949543345,18175.8945949993
2772960,1602385986,19972,17902,1551618021,0.0939734206990587,18070.5147206089
2752800,1601736491,19756,16847,1588645725,0.0972679625916177,17191.5124519133
2732640,1601072292,19409,18318,1515984252,0.094478569283281,19026.7855118759
2712480,1600411040,19756,19432,1469770892,0.0899896168740231,19829.3743672808
2692320,1599778618,20026,22200,1738337567,0.10499815844618,22348.5468890442
2672160,1599150880,19682,20197,1616210009,0.0993276916414186,20687.5073671375
2652000,1598536841,19567,15942,1367826880,0.0845568249628456,16425.1402872183
2631840,1597928211,19906,18063,1465101856,0.0890277908679594,18293.4833718477
2611680,1597308524,19204,19734,1499716714,0.0944624733000625,20716.3840866486
2591520,1596702104,19564,24224,1584435872,0.0979622587799632,24961.9627887957
2571360,1596103992,20022,22603,1615198811,0.0975798862144441,22758.7893317351
2551200,1595496933,19502,20199,2150923012,0.133409725941709,20880.5168700646
2531040,1594862318,19944,14693,1307316067,0.0792884834859206,14852.1299638989
2510880,1594226711,19984,11695,1075389334,0.0650916202164932,11797.998398719
2490720,1593595149,19950,14810,1274400022,0.0772688855444211,14965.8947368421
2470560,1592958568,19944,14619,1275266827,0.0773447028649819,14777.3285198556
2450400,1592320387,19115,16422,1390634829,0.0879995756818415,17319.7760920743
2430240,1591685461,19985,16067,1321650096,0.079993392850718,16207.6917688266
2410080,1591061303,19781,16087,1389418921,0.0849623945625398,16395.2236995096
2389920,1590458954,18980,18339,1507985360,0.0961042724687039,19479.1485774499
2369760,1589860606,20050,19578,1727270443,0.104204804381686,19685.4104738155
2349600,1589250923,19938,19618,1570785421,0.0952965214786639,19836.4369545591
2329440,1588613236,20012,19355,1546555944,0.0934796157236858,19498.1411153308
2309280,1587964757,18911,14936,1543110430,0.0987016221314579,15922.4662894612
2289120,1587315319,19405,17400,1553978393,0.0968663882593558,18076.9904663746
2268960,1586674849,19984,16646,1367026529,0.0827439596416333,16792.6020816653
2248800,1586031271,19225,24221,1531546172,0.0963619375631313,25398.9784135241
2228640,1585382545,19296,21850,1644291089,0.10307496378806,22828.3582089552
2208480,1584728625,19741,33610,2137844649,0.130993206394327,34323.3676105567
2188320,1584060655,19269,21386,1505996706,0.094538046373844,22374.8902382064
2168160,1583388844,19687,27601,1689403607,0.10379959379424,28264.1418194748
2148000,1582715670,19914,18028,1268115028,0.0770268121858391,18250.7020186803
2127840,1582049084,19854,24114,1482736998,0.0903353819271079,24485.6572982774
2107680,1581386095,19923,9640,969301279,0.0588499135209758,9754.67550067761
2087520,1580714141,18450,10297,1753380950,0.114953365697561,11251.356097561
2067360,1580036679,18825,7920,493487441,0.0317090256910279,8481.65737051793
2047200,1579353754,17530,6388,418380378,0.0288689620780833,7346.38220193953
2027040,1578691135,18174,8048,644166362,0.0428735353513371,8927.46120831958
2006880,1578024724,18663,8508,920088086,0.0596334216806301,9190.4452660344
1986720,1577348966,17646,7611,823990826,0.0564830161583135,8695.32811968718
1966560,1576685275,18711,35148,1446711184,0.093524763410101,37869.898989899
1946400,1575992936,17676,13515,1038994977,0.0711002672651731,15414.2566191446
1926240,1575367136,18782,15445,1342355638,0.0864505047239272,16578.1705888617
1906080,1574747409,18001,11296,913398909,0.0613769968516416,12650.8171768235
1885920,1574125191,18262,11733,2084440781,0.138064810464221,12952.4301828934
1865760,1573475448,18707,16620,2544201542,0.164508803399968,17910.8996632277
1845600,1572823750,18056,20029,2988171625,0.200182343686309,22362.9065130704
1825440,1572165146,19196,15972,1595311995,0.100525598518025,16774.0946030423
1805280,1571501095,18248,12778,1217506133,0.0807044836955721,14116.8610258658
1785120,1570817397,18031,12491,1244310199,0.0834738847934335,13965.8676723421
1764960,1570169156,17804,11618,1239074354,0.0841824499325095,13155.407773534
1744800,1569548214,18450,12320,1217895420,0.0798464119258537,13461.8536585366
1724640,1568909017,18140,11591,1200127492,0.0800261419141786,12881.7287761852
1704480,1568274120,18027,12059,1149265568,0.0771149737090364,13485.8512231653
1684320,1567617006,18919,9083,891015652,0.0569677325788467,9678.80331941434
1664160,1566949217,17231,4251,288990114,0.0202868343041263,4973.60338924032
1644000,1566285299,18613,4483,260218785,0.0169107958059421,4855.59984956751
1623840,1565638083,17783,14834,460664313,0.0313343953778778,16816.8160602823
1603680,1564966195,17010,3192,190247127,0.0135286845866667,3783.11111111111
1583520,1564316755,18410,18196,860792123,0.0565569881575665,19925.6577946768
1563360,1563663320,19122,3964,289397682,0.0183064238127393,4179.17791026043
1543200,1562991696,17151,3486,205729202,0.0145093605468602,4097.58964491866
1523040,1562341125,16986,3677,273390610,0.0194685789388909,4364.08336276934
1502880,1561690754,18397,4344,263558413,0.0173289262578029,4760.2891775833
1482720,1561052622,18319,3851,223982060,0.0147894917722583,4238.01299197554
1462560,1560441539,18175,3518,218865171,0.0145661243929354,3902.22173314993
1442400,1559876386,18848,3738,236632156,0.0151862402322581,3998.20033955857
1422240,1559297075,18010,4613,295622338,0.0198547906743365,5163.69128262077
1402080,1558671211,17760,4018,252690855,0.0172102960702703,4560.97297297297
1381920,1558037921,18488,4597,293003463,0.0191701097384682,5012.73907399394
